"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"
"R114H07"	-0.09367689894934	0.476597886260695	0.440716645227669	0.512722328713477	0.204108521335542	0.587527332442495
"R115A07"	-0.138212973537679	0.46550165712564	0.437768725384103	0.493449522839931	0.0155856721628111	0.122076842381931
"R115C04"	-0.0704516609506113	0.482394366197183	0.453707839084586	0.511197412332245	0.230867515678504	0.618323433295471
"R116D10"	-0.0764094691420012	0.48090692124105	0.441821614300902	0.52022731652469	0.34125714512769	0.75616691150596
"R116E09"	-0.0463899884590298	0.488404582285555	0.461569391585538	0.515306777246278	0.398266018057789	0.779006754018264
"R117B01"	0.0248562921062465	0.506213753106877	0.459972033842507	0.552349405027303	0.792631663291969	0.988503036207334
"R117B05"	-0.0167953563088416	0.495801259622113	0.465749323071934	0.525883564663055	0.78457861970183	0.988503036207334
"R117C11"	-0.0332790320073007	0.491681009753299	0.453262681056026	0.530197846091203	0.672334733861294	0.912242722595941
"R11B05"	-0.0238854849893568	0.494028912633564	0.473876745893582	0.51420050017648	0.561855405521222	0.85179409143371
"R120G05"	-0.0785450287954167	0.480373831775701	0.445761078255377	0.515176010489762	0.268989763563108	0.684701216342458
"R121G01"	-0.0146399011108485	0.49634009009009	0.469373816006039	0.523327673445178	0.790518797254658	0.988503036207334
"R121G03"	-0.202278412850249	0.449602122015915	0.408806100872867	0.491087509544457	0.0173432043473165	0.130285535096914
"R121G10"	-0.132925393211976	0.466817496229261	0.435804024982825	0.498089564256291	0.0375701646042392	0.231432213962114
"R121H06"	-0.125416660511454	0.468686868686869	0.43281502979903	0.504885269982928	0.0899345489249133	0.400597420230915
"R124C05"	-0.0351736141782671	0.491207502930832	0.459476089895255	0.523009920501067	0.588066695212847	0.874997788046169
"R124C09"	-0.0937488992373725	0.476579925650558	0.433035781454462	0.520483039077342	0.295734229700228	0.722905894822779
"R124G03"	-0.000964785410098451	0.499758803666184	0.464470939031713	0.53504907123066	0.989329543447826	0.993196356439009
"R124G09"	-0.0577463698054174	0.48556741795176	0.453680447266924	0.517572319038312	0.376815545339966	0.767483470476819
"R124H01"	-0.129104647901171	0.467768595041322	0.422002638513162	0.514083384181247	0.172427689742533	0.547502355058763
"R124H03"	-0.273551078031305	0.432035519125683	0.402842434382651	0.461708461011452	8.01519443283105e-06	0.000112212722059635
