"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"
"R113F06"	-0.133804579349347	0.466598674145844	0.430709062988211	0.502837375367705	0.0708068553078169	0.414702454347451
"R114B05"	-0.0223185229556954	0.494420600858369	0.467343739204715	0.521530230774548	0.686806314527667	0.919646934740951
"R114D02"	-0.0402288882227855	0.489944134078212	0.452184169792475	0.527819196979146	0.60304334494317	0.910761974207259
"R114E02"	-0.131540021239597	0.467162329615861	0.42763012416684	0.507111207942629	0.107077563114782	0.527048933461913
"R114E05"	-0.0327158336993581	0.491821771009588	0.469869865673883	0.513805257954747	0.465962391824558	0.874628894887205
"R114E09"	0.00959568706185577	0.502398903358465	0.460504072375501	0.544260076630535	0.910816946977992	0.988418333992562
"R114H07"	-0.0871858818325819	0.478217325988983	0.442544695051582	0.514113525024473	0.234233152751111	0.756942925206223
"R115A07"	-0.116320894403729	0.470952521380124	0.443580245765225	0.498500617350054	0.0387799504892068	0.264565440004144
"R115C04"	-0.0704516609506114	0.482394366197183	0.453814545634127	0.511089838805577	0.229123595479158	0.748307912894697
"R116D10"	-0.0596835815356174	0.48508353221957	0.446106654909161	0.524242708100296	0.455448866886436	0.874628894887205
"R116E09"	-0.0463899884590299	0.488404582285555	0.461669317172923	0.515206352965144	0.396499590403986	0.862110308261568
"R117B01"	0.0438026226583927	0.510948905109489	0.465333335371939	0.556382855303294	0.638408725301523	0.910761974207259
"R117B05"	-0.0117445218692633	0.49706390328152	0.467310281597072	0.526838334321415	0.846873426560682	0.988418333992562
"R117C11"	-0.0136832237514572	0.496579247434436	0.458390304314308	0.534808144657683	0.86098274562414	0.988418333992562
"R11B05"	-0.0238854849893565	0.494028912633564	0.473951906364609	0.514125195040834	0.560389658056818	0.89950654471283
"R120G05"	-0.0753340468253988	0.481175390266299	0.446985678093125	0.515542304179206	0.282979159178227	0.811912166987998
"R121G01"	-0.0146399011108491	0.49634009009009	0.46947431352699	0.523227017327734	0.789751756189544	0.988418333992562
"R121G03"	-0.137973566339647	0.465561224489796	0.425477975054599	0.506094227513812	0.0957805205011757	0.515870522699315
"R121G10"	-0.113835142648799	0.471571906354515	0.440860584404403	0.502499946221421	0.071593583323827	0.414702454347451
"R121H06"	-0.0880449688129126	0.478002965892239	0.44256057154397	0.513668236636173	0.226656019912255	0.748213509558941
"R124C05"	-0.0351736141782671	0.491207502930832	0.459594172384011	0.522891309948673	0.586668150742651	0.910761974207259
"R124C09"	-0.0876473070587555	0.478102189781022	0.435095995759383	0.521435481256637	0.321953891227329	0.851756586452365
"R124G03"	0.0151088804248019	0.503777148253069	0.46897644402798	0.538541293134816	0.831726587047319	0.988418333992562
"R124G09"	-0.0577463698054174	0.48556741795176	0.453799018764442	0.517452870514776	0.375029012200944	0.862110308261568
"R124H01"	-0.108257339699418	0.472962066182405	0.427825195584276	0.518545282861795	0.2449074441759	0.760519684988891
"R124H03"	-0.276553181757072	0.431299011251278	0.402246941008349	0.460831711387372	5.79764777342007e-06	8.09035393836346e-05
"R125E02"	-0.0482253519544728	0.48794599807136	0.452866480056689	0.523144654945038	0.50223833618995	0.878001121052551
"R125E04"	-0.0133187318402809	0.496670366259712	0.4589906936299	0.534387896751305	0.862828093088281	0.988418333992562
"R126H08"	-0.765897993491462	0.317367119901134	0.291727178718439	0.344165534176765	0	0
"R127E02"	-0.0994408366375263	0.475160256410256	0.449080427852573	0.501376286483512	0.0632898148617582	0.386357682567455
