"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"	"expression_category"
"R172B11"	0.0269376557318085	0.506734006734007	0.479052501388248	0.53437428577183	0.63364281566405	0.743210135566951	"Low"
"R65A10"	0.0208574864178046	0.505214182576608	0.489460664060826	0.520957354597154	0.516551277154028	0.961729546007707	"Seedling Only"
"R106G12"	0.0191291699089954	0.504782146652497	0.47729102407127	0.532244383660406	0.733287851962727	0.887664241849616	"Sperm Cell High"
"R105H08"	0.0184795592748369	0.504619758351102	0.464445476982651	0.544734473758212	0.821939635174438	0.904133598691882	"Low"
"R171A01"	0.0160163583885738	0.504004004004004	0.460985333593819	0.54696347352432	0.855510000507831	0.955163588492869	"Vegetative Cell High"
"R52B09"	0.0127874560851259	0.503196820459651	0.486849327477817	0.519537481458648	0.701562415851594	0.961729546007707	"Seedling Only"
"R183D03"	0.01245567704692	0.503113879003559	0.463386097179796	0.542802381178995	0.878105633438128	0.967000354793584	"Sperm Cell High"
"R31H05"	0.0110579821956518	0.502764467379285	0.465832882576546	0.539665911294437	0.883526319355904	0.955163588492869	"Vegetative Cell High"
"R21D01"	0.0105821093305369	0.502645502645503	0.472515111696427	0.532756691746984	0.863491318654813	0.961729546007707	"Seedling Only"
"R26G07"	0.00893306188547541	0.502233250620347	0.472540604572416	0.531910153085027	0.882913367420229	0.967000354793584	"Sperm Cell High"
"R32H08"	0.00723185152649524	0.501807955002009	0.471589130324793	0.532013577408304	0.906745985579654	0.906745985579654	"Low"
"R08E06"	0.00702205247371981	0.501755505904883	0.474814985456885	0.52868583703034	0.898453519210935	0.906745985579654	"Low"
"R45E04"	0.00406174400817758	0.501015434606011	0.472933760458547	0.52909070417327	0.943552393410993	0.970964706385021	"Vegetative Cell"
"R91F11"	0.00297840875426036	0.500744601638124	0.475023891321271	0.526461371790793	0.95478883040525	0.969263980979395	"Sperm Cell High"
"R34C11"	0.00285714480077994	0.500714285714286	0.471021990656133	0.53040154371745	0.96243521996069	0.972731387383137	"Vegetative Cell High"
"R81G05"	0.00261552023560319	0.500653879686138	0.471565408765589	0.529737925086953	0.964895171871499	0.970964706385021	"Vegetative Cell"
"R69C04"	0.00180603263827488	0.500451508036843	0.474584974720316	0.526315624826066	0.972731387383137	0.972731387383137	"Vegetative Cell High"
"R53F11"	0.0014371259958479	0.500359281437126	0.481118623116664	0.519598875759547	0.970818775309827	0.970818775309827	"Seedling Only"
"R87A03"	-0.00220118953063977	0.499449702839533	0.471488883779984	0.52741396413812	0.969263980979395	0.969263980979395	"Sperm Cell High"
"R12C02"	-0.00357782134788405	0.499105545617173	0.451098131435386	0.547129457195683	0.970964706385021	0.970964706385021	"Vegetative Cell"
"R63F09"	-0.00415801014866379	0.498960498960499	0.48186897391799	0.516054453633088	0.905157219771959	0.961729546007707	"Seedling Only"
"R134A03"	-0.00533334597536251	0.498666666666667	0.461145825109543	0.536202531020957	0.944588711347915	0.972731387383137	"Vegetative Cell High"
"R65E02"	-0.00805064727716697	0.497987349051179	0.476913139121925	0.519068712429387	0.851630989829918	0.961729546007707	"Seedling Only"
"R59F11"	-0.00917055197220814	0.497707378074198	0.472341094897656	0.523085468462047	0.859549967740937	0.961729546007707	"Seedling Only"
"R88B08"	-0.010135221894043	0.497466216216216	0.465199503655809	0.52975404733583	0.877892274765679	0.955163588492869	"Vegetative Cell High"
"R39B06"	-0.0101868453069931	0.497453310696095	0.465104843395765	0.529823111931003	0.877584149969587	0.955163588492869	"Vegetative Cell High"
"R92A10"	-0.0108992904580357	0.497275204359673	0.472164486451542	0.522399675123059	0.831766308712561	0.955163588492869	"Vegetative Cell High"
"R172F04"	-0.0126985833371273	0.496825396825397	0.468257393564854	0.52541414310365	0.827836074690932	0.961729546007707	"Seedling Only"
"R02D02"	-0.0134859856854756	0.496628554676048	0.462924464843808	0.530363312550712	0.84510005793357	0.970964706385021	"Vegetative Cell"
"R150H02"	-0.0162870049746992	0.495928338762215	0.439933046280302	0.552025957331356	0.887251564401738	0.970964706385021	"Vegetative Cell"
"R180H11"	-0.0191088616980463	0.495222929936306	0.450996981551035	0.539523760810204	0.832918409064986	0.955163588492869	"Vegetative Cell High"
"R23D05"	-0.0195956629450504	0.495101241018942	0.466048707174473	0.524186894120474	0.741474041066704	0.970964706385021	"Vegetative Cell"
"R06C04"	-0.0196703317477322	0.495082575616997	0.469418540578938	0.520772549957697	0.707660486925746	0.887664241849616	"Sperm Cell High"
"R04G10"	-0.0198505670838155	0.495037521181312	0.464408542921389	0.525703792234604	0.7512893342544	0.970964706385021	"Vegetative Cell"
"R22A03"	-0.0235096212372134	0.49412286538035	0.47167703894646	0.51659240803402	0.608282446919125	0.743210135566951	"Low"
"R107C12"	-0.0236755818060418	0.494081381011097	0.472715651734962	0.515468749741603	0.587623960794481	0.831935498974037	"Vegetative Cell High"
"R11B05"	-0.0238854849893567	0.494028912633564	0.475130383126988	0.512944520795559	0.536162066991818	0.743210135566951	"Low"
"R76E07"	-0.0248074737042677	0.493798449612403	0.469347434723192	0.518279165981704	0.619640810095082	0.961729546007707	"Seedling Only"
"R106F04"	-0.0269955043420118	0.493251533742331	0.471495861172477	0.515032793921191	0.54374949772856	0.961729546007707	"Seedling Only"
"R81E02"	-0.0281615429924299	0.49296007950969	0.468206906014373	0.517747816018582	0.577865867376168	0.831935498974037	"Vegetative Cell High"
"R77H05"	-0.0294042745807858	0.49264946096047	0.457926276610552	0.52744370609707	0.679055765268279	0.876200987442941	"Vegetative Cell High"
"R01G01"	-0.0295310889996933	0.492617764237169	0.463190246440926	0.522096525138205	0.623951624230528	0.831935498974037	"Vegetative Cell High"
"R98H09"	-0.0300158959402661	0.492496589358799	0.463509787899655	0.521533927137546	0.612673098665738	0.831935498974037	"Vegetative Cell High"
"R112C11"	-0.0320668757966624	0.491983967935872	0.458297024140445	0.525743861472049	0.641863298898731	0.743210135566951	"Low"
"R41A12"	-0.0326605606329247	0.491835585585586	0.466559891698858	0.517153087027318	0.527438349432065	0.743210135566951	"Low"
"R32B05"	-0.0329319187379726	0.491767764298094	0.462801236352104	0.520789671602495	0.578373763451061	0.970964706385021	"Vegetative Cell"
"R27E01"	-0.0337916900227808	0.491552881277482	0.461618122962891	0.52154833470791	0.58112375885768	0.970964706385021	"Vegetative Cell"
"R124C05"	-0.0351736141782672	0.491207502930832	0.454034613875444	0.528477874467585	0.644058839789864	0.887664241849616	"Sperm Cell High"
"R02H02"	-0.035276311309304	0.491181836610582	0.469727846938676	0.512668355780761	0.422246919907564	0.743210135566951	"Low"
"R72D11"	-0.0355235078530377	0.491120056831636	0.461546809733348	0.520755583964619	0.557145014052097	0.831935498974037	"Vegetative Cell High"
"R83B04"	-0.0358539218462459	0.491037479630636	0.459374273906095	0.522772755744969	0.580064125576984	0.831935498974037	"Vegetative Cell High"
"R80E09"	-0.0408758288719679	0.489782465392221	0.467242325738768	0.512364227907611	0.375191742734387	0.961729546007707	"Seedling Only"
"R101B03"	-0.0413010364455836	0.489676208352886	0.460244766681074	0.519179395559679	0.492916447324465	0.831935498974037	"Vegetative Cell High"
"R35A08"	-0.0440020413903814	0.489001264222503	0.458456450583535	0.519628432350994	0.481621347464955	0.831935498974037	"Vegetative Cell High"
"R80B03"	-0.0445170104584565	0.488872584984104	0.458831170794828	0.518994593360753	0.469134020818824	0.831935498974037	"Vegetative Cell High"
"R116E09"	-0.0463899884590297	0.488404582285555	0.456305102728163	0.52059998021661	0.480361529825395	0.831935498974037	"Vegetative Cell High"
"R01C02"	-0.0468781176978073	0.488282616299405	0.453123488298248	0.523558068453359	0.51560684967207	0.887664241849616	"Sperm Cell High"
"R155E06"	-0.0478127240386414	0.488049095607235	0.46490961266207	0.511239912970906	0.312477392245625	0.370163133476181	"Sperm Cell"
"R41F01"	-0.0485925552368652	0.487854251012146	0.457303805401949	0.518495708400201	0.437291882271184	0.831935498974037	"Vegetative Cell High"
"R12H07"	-0.0513719694987196	0.487159831353009	0.462866643621257	0.511513832872355	0.301429123634606	0.961729546007707	"Seedling Only"
"R06H11"	-0.0531374996971575	0.48671875	0.444745787746847	0.528879867879179	0.537208103611005	0.743210135566951	"Low"
"R106E07"	-0.0543767708780719	0.486409155937053	0.465414249446278	0.507452132916361	0.207606799216436	0.961729546007707	"Seedling Only"
"R113E02"	-0.0589851550210161	0.485257985257985	0.453398040435928	0.517238198304636	0.370163133476181	0.370163133476181	"Sperm Cell"
"R96E03"	-0.0590430381460974	0.485243527068622	0.459927149941364	0.510635858980526	0.25467062500094	0.585742437502163	"Sperm Cell High"
"R116D10"	-0.0596835815356172	0.48508353221957	0.453682070998564	0.516603208904024	0.353664573357076	0.370163133476181	"Sperm Cell"
"R31B01"	-0.0602466690560304	0.484942886812046	0.449988518586491	0.520045187253953	0.400564599245087	0.76774881521975	"Sperm Cell High"
"R83A02"	-0.0606047555166321	0.484853446864254	0.46077568676118	0.509001725747057	0.218906427232318	0.564354623917808	"Sperm Cell High"
"R101C04"	-0.0660770905717874	0.483486735246345	0.438938648009964	0.528298833003037	0.470340419435159	0.831935498974037	"Vegetative Cell High"
"R100G07"	-0.0661927812335973	0.483457844183565	0.43922951069887	0.527946859696916	0.466335360436131	0.831935498974037	"Vegetative Cell High"
"R99B02"	-0.0687017082879226	0.482831325301205	0.448753805568368	0.517069285894774	0.325691610810184	0.85270241331858	"Vegetative Cell"
"R52E07"	-0.070551110991965	0.482369534555712	0.452947966718879	0.511913855898229	0.242118653148043	0.744980471224749	"Vegetative Cell High"
"R83H05"	-0.0707755475931188	0.482313495389774	0.465644149165221	0.499022300034963	0.0380237206579033	0.140928148555948	"Sperm Cell"
"R133F11"	-0.0712044462917917	0.48220640569395	0.437485546679639	0.527214145434685	0.438577812314759	0.743210135566951	"Low"
"R110H08"	-0.071567054562156	0.482115869017632	0.454301138433973	0.510041874571097	0.209364405698655	0.961729546007707	"Seedling Only"
"R111E08"	-0.0721706128134958	0.481965174129353	0.434269010298352	0.529992268691594	0.461949551084663	0.831935498974037	"Vegetative Cell High"
"R167H12"	-0.0739087094251559	0.48153122901276	0.448249296961714	0.514977856587386	0.279101091877782	0.370163133476181	"Sperm Cell"
"R77F09"	-0.0741079721537221	0.481481481481481	0.453297545122309	0.509783753415584	0.199641241825413	0.678780222206405	"Vegetative Cell"
"R120G05"	-0.0753340468253989	0.481175390266299	0.448984783138106	0.51352303506161	0.253993129120543	0.620872093405771	"Low"
"R96B12"	-0.0777290394789842	0.480577518047439	0.460439174349551	0.50077917012011	0.0595101567611771	0.228122267584512	"Sperm Cell High"
"R44E07"	-0.0854177511543516	0.478658536585366	0.454468770162921	0.502948803939145	0.0850420339724367	0.961729546007707	"Seedling Only"
"R107C05"	-0.0883855698676939	0.477917981072555	0.443508379930355	0.512538439748661	0.21118032869198	0.580745903902945	"Low"
"R93C03"	-0.092730484251724	0.476833976833977	0.43999561236777	0.513926121092611	0.220834418054794	0.564354623917808	"Sperm Cell High"
"R111G02"	-0.0967211530671184	0.475838544627629	0.449443509689976	0.502369254461196	0.0742519777333066	0.330008789925807	"Vegetative Cell High"
"R127E02"	-0.0994408366375262	0.475160256410256	0.443855696953472	0.506661261459038	0.122163483987563	0.488653935950252	"Vegetative Cell High"
"R167G06"	-0.113364115518348	0.471689284043051	0.430375653758624	0.513394402036233	0.183242065282393	0.666334782845064	"Vegetative Cell High"
"R127F10"	-0.122653534547212	0.469375	0.421735151642542	0.517579599713485	0.212921651199436	0.709738837331454	"Vegetative Cell High"
"R141F11"	-0.129490983087518	0.467672413793103	0.427605791336336	0.508160335578688	0.117501891207377	0.369291658080329	"Low"
"R67C09"	-0.131341496551487	0.467211747038211	0.442482639584899	0.492103011332823	0.00986076206074848	0.0563472117757056	"Vegetative Cell High"
"R153F05"	-0.137717250557201	0.465625	0.423885377531691	0.507851618136025	0.110495039747206	0.369291658080329	"Low"
"R121G03"	-0.137973566339646	0.465561224489796	0.427812463836829	0.503708615597232	0.0767789067947702	0.337827189896989	"Low"
"R145B04"	-0.154808791071808	0.461374911410347	0.409635825407687	0.51395973989313	0.149778792109001	0.636559866463252	"Vegetative Cell"
"R95D10"	-0.156167541468535	0.461037268699505	0.430222548310547	0.492152678668859	0.0141645034236209	0.0708225171181043	"Vegetative Cell High"
"R182D03"	-0.160174794430639	0.46004169562196	0.411018312088683	0.509850659145806	0.115726349797413	0.380243720762929	"Sperm Cell High"
"R108G04"	-0.162327340264504	0.459507042253521	0.415319205223764	0.504340884443339	0.0766325212486978	0.337827189896989	"Low"
"R132G08"	-0.175976782683708	0.456118987561973	0.438652487129653	0.473694087610597	1.05270941097579e-06	6.05307911311082e-06	"Sperm Cell High"
"R92F08"	-0.18031150586593	0.455043859649123	0.426808410078425	0.483571362895028	0.00203878258531942	0.0135918839021295	"Vegetative Cell High"
"R33F03"	-0.207133543135154	0.44840096748186	0.426306918840074	0.470700583507299	6.16067996372927e-06	6.16067996372927e-05	"Vegetative Cell High"
"R04A02"	-0.226778597119843	0.443547084477467	0.418801893252337	0.468575593603625	1.06040624539006e-05	6.00896872387698e-05	"Vegetative Cell"
"R49F11"	-0.229958367471849	0.442762417114976	0.421476045711509	0.464261119819659	2.04732808928298e-07	2.72977078571065e-06	"Vegetative Cell High"
"R154F06"	-0.239762041032485	0.44034499281265	0.407852493700902	0.473356788800747	0.000414101244549769	0.00303674246003164	"Low"
"R174H06"	-0.258832429417626	0.43565074453684	0.422688495797306	0.448701546557521	0	0	"Sperm Cell High"
"R124H03"	-0.276553181757071	0.431299011251279	0.396469687726537	0.466821405911075	0.00016099325370722	0.00128794602965776	"Vegetative Cell High"
"R83B01"	-0.363010423648717	0.41023102310231	0.39130363143658	0.429428046190814	0	0	"Low"
"R129B01"	-0.366732742450955	0.409330741460705	0.377441278272463	0.442001615229611	7.59554363849446e-08	6.45621209272029e-07	"Vegetative Cell"
"R102H01"	-0.38345493027245	0.405293880890813	0.386468100195061	0.424402354270377	0	0	"Vegetative Cell High"
"R96C12"	-0.394881485057138	0.402542736934231	0.385161768645272	0.420172038222273	0	0	"Vegetative Cell High"
"R82A03"	-0.626133710030605	0.348387723387723	0.330885362453638	0.366309050600238	0	0	"Sperm Cell High"
"R84A12"	-0.917622710058395	0.285442531037245	0.268700781152432	0.302795493471178	0	0	"Sperm Cell High"
"R82C05"	-2.23468931282076	0.0966783403624079	0.0853174715821096	0.109371130470498	0	0	"Vegetative Cell"
"R71A11"	-2.5796942268282	0.0704567541427642	0.0624044179335852	0.0794600646681521	0	0	"Low"
