"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"	"expression_category"
"R87A03"	-0.00220118953063954	0.499449702839533	0.472773883357872	0.526128655421723	0.967781070364	0.988211326485624	"Sperm Cell High"
"R105H08"	-0.00292825977908844	0.499267935578331	0.465268400958334	0.533274241507577	0.966393654046002	0.986015860219525	"Unknown"
"R68C07"	-0.00377596420953519	0.499056010069226	0.46752617807893	0.530593351466345	0.953274295547473	0.977592517372664	"Unknown"
"R90A05"	-0.00406669938255342	0.49898332655551	0.473625321378228	0.52434656283272	0.937426592607057	0.971251263474322	"Unknown"
"R63F09"	-0.00415801014866377	0.498960498960499	0.481625599313377	0.516297897928788	0.906483749664317	0.956843957979002	"Seedling Only"
"R174C10"	-0.00422238487984813	0.498944405348346	0.465608763282907	0.532289434461579	0.950592675650846	0.977592517372664	"Unknown"
"R143F02"	-0.0044178045976089	0.498895550646892	0.475870674891888	0.521925111523456	0.925158001009058	0.925158001009058	"Sperm Cell"
"R134A03"	-0.00533334597536263	0.498666666666667	0.461322030994137	0.536026184339172	0.944326648722907	0.972602264287372	"Vegetative Cell High"
"R108A02"	-0.00615008088533796	0.498462484624846	0.476408113397869	0.520522840253705	0.891402019716626	0.947998973349428	"Unknown"
"R65E02"	-0.00805064727716693	0.497987349051179	0.476613207628934	0.519368849024926	0.853692117986595	0.956843957979002	"Seedling Only"
"R91C03"	-0.00851068966790845	0.497872340425532	0.461230710687239	0.534536837759793	0.909580464037263	0.952217048289009	"Unknown"
"R59F11"	-0.00917055197220806	0.497707378074198	0.471980297556643	0.523446604151915	0.861503431512338	0.956843957979002	"Seedling Only"
"R88B08"	-0.0101352218940432	0.497466216216216	0.465351163770233	0.529602189100548	0.877318409287595	0.972602264287372	"Vegetative Cell High"
"R39B06"	-0.0101868453069932	0.497453310696095	0.465256885255771	0.529670869932435	0.877008859664795	0.972602264287372	"Vegetative Cell High"
"R181E01"	-0.0103520593210324	0.497412008281574	0.468816327596098	0.526024629325138	0.859403846865299	0.938805289238724	"Unknown"
"R92A10"	-0.0108992904580359	0.497275204359673	0.472282647166678	0.522281385246769	0.830981371771598	0.972602264287372	"Vegetative Cell High"
"R74F05"	-0.0109740470319766	0.497256515775034	0.464353011724455	0.530183799373019	0.870421869793922	0.945701599073396	"Unknown"
"R98H08"	-0.0113422766039346	0.497164461247637	0.476450559169797	0.517888101274582	0.78863906509845	0.956843957979002	"Seedling Only"
"R52H01"	-0.0130815818974894	0.496729651162791	0.472762853615436	0.52071148688318	0.789355932351229	0.886371745265906	"Unknown"
"R125E04"	-0.013318731840281	0.496670366259711	0.460023018179444	0.53335352521981	0.85898771111708	0.909731612390962	"Vegetative Cell"
"R02D02"	-0.0134859856854756	0.496628554676048	0.463862462338596	0.529423631068955	0.840475885565667	0.972602264287372	"Vegetative Cell High"
"R46A02"	-0.0137495555831021	0.496562665256478	0.460785282566886	0.532375283165144	0.850967412274281	0.909731612390962	"Vegetative Cell"
"R45E09"	-0.0137722146212269	0.496557000765111	0.471967374719076	0.521163293357503	0.784001731983826	0.885305326566006	"Unknown"
"R121G01"	-0.014639901110849	0.49634009009009	0.46423013232293	0.528480266269356	0.823553318248352	0.972602264287372	"Vegetative Cell High"
